TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef
1,A,2020,2020,512,Motion picture and sound recording industries,75.8,1
1,A,2020,2020,513,Broadcasting and telecommunications,487.1,1
1,A,2020,2020,514,"Data processing, internet publishing, and other information services",315.3,1
1,A,2020,2020,52,Finance and insurance,1718.2,1
1,A,2020,2020,521CI,"Federal Reserve banks, credit intermediation, and related activities",772.8,1
1,A,2020,2020,523,"Securities, commodity contracts, and investments",310.0,1
1,A,2020,2020,524,Insurance carriers and related activities,634.3,1
1,A,2020,2020,525,"Funds, trusts, and other financial vehicles",1.1,1
1,A,2020,2020,53,Real estate and rental and leasing,2910.6,1
1,A,2020,2020,531,Real estate,2665.6,1
1,A,2020,2020,532RL,Rental and leasing services and lessors of intangible assets,245.0,1
1,A,2020,2020,54,"Professional, scientific, and technical services",1673.3,1
1,A,2020,2020,5411,Legal services,288.5,1
1,A,2020,2020,5412OP,"Miscellaneous professional, scientific, and technical services",991.5,1
1,A,2020,2020,5415,Computer systems design and related services,393.4,1
1,A,2020,2020,55,Management of companies and enterprises,403.9,1
1,A,2020,2020,56,Administrative and waste management services,648.9,1
1,A,2020,2020,561,Administrative and support services,588.1,1
1,A,2020,2020,562,Waste management and remediation services,60.9,1
1,A,2020,2020,6,"Educational services, health care, and social assistance",1870.0,1
1,A,2020,2020,61,Educational services,255.5,1
1,A,2020,2020,62,Health care and social assistance,1614.6,1
1,A,2020,2020,621,Ambulatory health care services,762.2,1
1,A,2020,2020,622,Hospitals,538.4,1
1,A,2020,2020,623,Nursing and residential care facilities,164.6,1
1,A,2020,2020,624,Social assistance,149.5,1
1,A,2020,2020,7,"Arts, entertainment, recreation, accommodation, and food services",693.4,1
1,A,2020,2020,71,"Arts, entertainment, and recreation",170.9,1
1,A,2020,2020,711AS,"Performing arts, spectator sports, museums, and related activities",100.2,1
1,A,2020,2020,713,"Amusements, gambling, and recreation industries",70.7,1
1,A,2020,2020,72,Accommodation and food services,522.6,1
1,A,2020,2020,721,Accommodation,126.5,1
1,A,2020,2020,722,Food services and drinking places,396.1,1
1,A,2020,2020,81,"Other services, except government",450.6,1
1,A,2020,2020,FIRE,"Finance, insurance, real estate, rental, and leasing",4628.8,1
1,A,2020,2020,G,Government,2712.4,1
1,A,2020,2020,GDP,Gross domestic product,21354.1,1
1,A,2020,2020,GF,Federal,859.7,1
1,A,2020,2020,GFE,Government enterprises,72.3,1
1,A,2020,2020,GFG,General government,787.4,1
1,A,2020,2020,GFGD,National defense,450.9,1
1,A,2020,2020,GFGN,Nondefense,336.5,1
1,A,2020,2020,GSL,State and local,1852.7,1
1,A,2020,2020,GSLE,Government enterprises,141.5,1
1,A,2020,2020,GSLG,General government,1711.3,1
1,A,2020,2020,HS,Housing,2060.7,1
1,A,2020,2020,ICT,Information-communications-technology-producing industries<sup>3</sup>,1581.7,1;1.3.A
1,A,2020,2020,ORE,Other real estate,604.9,1
1,A,2020,2020,PGOOD,Private goods-producing industries<sup>1</sup>,3472.1,1;1.1.A
1,A,2020,2020,PROF,Professional and business services,2726.1,1
1,A,2020,2020,PSERV,Private services-producing industries<sup>2</sup>,15169.6,1;1.2.A
1,A,2020,2020,PVT,Private industries,18641.7,1
1,A,2021,2021,11,"Agriculture, forestry, fishing, and hunting",228.6,1
1,A,2021,2021,111CA,Farms,183.6,1
1,A,2021,2021,113FF,"Forestry, fishing, and related activities",45.0,1
1,A,2021,2021,21,Mining,331.9,1
1,A,2021,2021,211,Oil and gas extraction,221.4,1
1,A,2021,2021,212,"Mining, except oil and gas",67.7,1
1,A,2021,2021,213,Support activities for mining,42.8,1
1,A,2021,2021,22,Utilities,390.8,1
1,A,2021,2021,23,Construction,1011.7,1
1,A,2021,2021,311FT,Food and beverage and tobacco products,306.7,1
1,A,2021,2021,313TT,Textile mills and textile product mills,17.0,1
1,A,2021,2021,315AL,Apparel and leather and allied products,10.8,1
1,A,2021,2021,31G,Manufacturing,2408.8,1
1,A,2021,2021,31ND,Nondurable goods,1125.3,1
1,A,2021,2021,321,Wood products,59.2,1
1,A,2021,2021,322,Paper products,64.6,1
1,A,2021,2021,323,Printing and related support activities,38.9,1
1,A,2021,2021,324,Petroleum and coal products,143.2,1
1,A,2021,2021,325,Chemical products,461.3,1
1,A,2021,2021,326,Plastics and rubber products,82.9,1
1,A,2021,2021,327,Nonmetallic mineral products,67.8,1
1,A,2021,2021,331,Primary metals,73.2,1
1,A,2021,2021,332,Fabricated metal products,147.9,1
1,A,2021,2021,333,Machinery,157.4,1
1,A,2021,2021,334,Computer and electronic products,292.5,1
1,A,2021,2021,335,"Electrical equipment, appliances, and components",61.2,1
1,A,2021,2021,3361MV,"Motor vehicles, bodies and trailers, and parts",143.1,1
1,A,2021,2021,3364OT,Other transportation equipment,153.0,1
1,A,2021,2021,337,Furniture and related products,30.0,1
1,A,2021,2021,339,Miscellaneous manufacturing,98.2,1
1,A,2021,2021,33DG,Durable goods,1283.5,1
1,A,2021,2021,42,Wholesale trade,1415.1,1
1,A,2021,2021,441,Motor vehicle and parts dealers,317.0,1
1,A,2021,2021,445,Food and beverage stores,197.3,1
1,A,2021,2021,44RT,Retail trade,1535.2,1
1,A,2021,2021,452,General merchandise stores,183.1,1
1,A,2021,2021,481,Air transportation,96.0,1
1,A,2021,2021,482,Rail transportation,45.2,1
1,A,2021,2021,483,Water transportation,19.5,1
1,A,2021,2021,484,Truck transportation,230.4,1
1,A,2021,2021,485,Transit and ground passenger transportation,46.9,1
1,A,2021,2021,486,Pipeline transportation,41.8,1
1,A,2021,2021,487OS,Other transportation and support activities,195.6,1
1,A,2021,2021,48TW,Transportation and warehousing,775.4,1
1,A,2021,2021,493,Warehousing and storage,100.2,1
1,A,2021,2021,4A0,Other retail,837.7,1
1,A,2021,2021,51,Information,1310.4,1
1,A,2021,2021,511,"Publishing industries, except internet (includes software)",351.3,1
1,A,2021,2021,512,Motion picture and sound recording industries,92.6,1
1,A,2021,2021,513,Broadcasting and telecommunications,498.0,1
1,A,2021,2021,514,"Data processing, internet publishing, and other information services",368.5,1
1,A,2021,2021,52,Finance and insurance,1859.0,1
1,A,2021,2021,521CI,"Federal Reserve banks, credit intermediation, and related activities",842.1,1
1,A,2021,2021,523,"Securities, commodity contracts, and investments",358.0,1
1,A,2021,2021,524,Insurance carriers and related activities,637.4,1
1,A,2021,2021,525,"Funds, trusts, and other financial vehicles",21.5,1
1,A,2021,2021,53,Real estate and rental and leasing,3144.7,1
1,A,2021,2021,531,Real estate,2864.6,1
